,Wind_1,Solar_1,Load_1,Wind_2,Solar_2,Load_2,Wind_3,Solar_3,Load_3,Wind_4,Solar_4,Load_4,Wind_5,Solar_5,Load_5
52,1139.756265584656,231.99244360077694,6912.3654285384555,1140.2792857925378,231.61690155613735,6912.471756906642,1139.424674455353,231.27053205120876,6912.176560969486,1140.2563065330469,232.02095750916317,6912.857799739971,1140.3453650514566,231.05488065082147,6912.479370327129
53,1141.7566555864516,230.6598117162185,6915.019027542185,1141.923264992923,230.5726612020927,6914.135965537142,1141.7402951843444,229.91708902611308,6915.1934521904695,1141.5587116009895,231.14274800165467,6914.807005595278,1141.9321917421523,230.21837208761744,6913.94964547069
54,1143.12326606249,231.23358570525673,6913.774035861977,1142.690970382444,231.06076459327963,6913.214566370733,1143.0749111983696,230.6992150370243,6913.656624308117,1143.0411835524956,231.2018909055951,6914.370232155808,1142.5432203028122,230.70029054323462,6913.103631189354
55,1143.061727374806,231.097502662592,6914.17358031935,1142.758343786015,231.03920836632736,6913.425524295037,1142.862267345204,230.40914206092842,6914.2483095235275,1143.373817116036,231.20272482817657,6914.44510653681,1142.65827468039,230.67117659633644,6913.307327479784
56,1143.1704092409968,230.12464515895584,6915.19255102718,1143.0661085632205,230.4623047563527,6913.9871238573805,1143.0639621999621,229.55224125117996,6915.251394163014,1143.354382672584,230.393479869077,6915.2686842783705,1143.0283537891269,230.2393656227086,6913.753889094235
57,1142.9757080548386,231.5477342176099,6913.668832173167,1142.9152263277153,231.61223501887514,6912.945813944159,1142.7950708144288,230.8888463246484,6913.525549640475,1143.3171807997803,231.2773153352399,6914.420260062037,1142.8719907873253,231.230435537066,6912.822499861537
58,1143.4149265249566,232.0805083694284,6912.96209338307,1143.4808408578233,231.84018674067903,6912.665433883663,1143.2514402826623,231.41818912647415,6912.948508739468,1143.631715114911,232.03516535781074,6913.5231358706915,1143.450084563096,231.37688865087677,6912.620360434052
59,1143.1418784903108,231.5609059827318,6913.76228315609,1143.4586071418344,231.57674693035983,6913.055013070279,1142.9238433884202,230.74520008730792,6913.821910689049,1143.4713081167756,231.83470448571347,6913.955764601403,1143.5105776833116,231.1760339634409,6912.90606843906
60,1144.9090132249628,231.61136375977165,6913.719004799475,1144.732348514918,231.64011414958603,6912.999989648213,1144.828076614264,230.97921126200325,6913.663806130042,1144.7861206067835,231.71896030618316,6914.119568158736,1144.6118073595796,231.31410258127815,6912.85084066247
61,1146.0493346075075,232.00789465764385,6913.4862765365115,1145.4796009878175,231.92305674413066,6912.863692402171,1145.9564240793245,231.5041608736835,6913.5006989531985,1146.0799105981844,231.92246066788059,6913.907701044606,1145.2945578316705,231.58592783668857,6912.762065827178
62,1145.5971669263117,232.01334347729755,6913.220176586612,1145.251667470383,231.99225192670895,6912.642601409658,1145.3156137174838,231.33177881841732,6913.214844712718,1146.0757626599543,232.0533488035686,6913.628842958911,1145.119425625252,231.63119279747082,6912.542929732903
63,1145.4792098793478,231.48779797107505,6913.810506094377,1145.4148731026144,231.74069594890403,6912.954017926138,1145.2809899243803,230.86393051893043,6913.8266792186905,1145.8365064057798,231.63289647847938,6914.043885458391,1145.3664753827543,231.47857081443595,6912.787318278234
64,1145.5019760608386,232.52011243697189,6912.470918981889,1145.5244532704066,232.53884272720597,6912.124558685878,1145.29670559165,231.91675299104236,6912.315520464042,1145.8372791289996,232.29069244559787,6913.2095184014825,1145.4779101490687,232.1547994583466,6912.044424830535
65,1146.7577883567742,233.30673831544166,6912.423759141004,1146.484177884095,232.9768436833406,6912.162517943418,1146.6079393591813,232.62913092068678,6912.48493874911,1146.895473953717,233.2378204151178,6912.765553721225,1146.3506480421952,232.4824475928331,6912.137070306575
66,1146.5664563231617,232.65971171843512,6912.712599355194,1146.4979911499172,232.5592865644644,6912.2722202273335,1146.3510994367748,231.99419343459112,6912.664558696958,1146.9202414207607,232.8596965371321,6913.001498985502,1146.4441660099178,232.20938414322836,6912.163188475582
67,1147.6130094666846,233.09171148521858,6912.664588330179,1147.321010484255,232.9428239030953,6912.161736501246,1147.4847501058944,232.5193870974894,6912.693989006668,1147.6956265111335,233.06402207298237,6913.003599909931,1147.1903751631148,232.54249701036173,6912.089658079534
68,1146.3676098809824,233.7571893958132,6910.869123943415,1146.578215383111,233.45222595611023,6911.058969863024,1146.0413438306437,233.16041178533243,6910.671563275423,1146.9696668611155,233.67870837726997,6911.473970420923,1146.594733379899,232.9693437693398,6911.104641802874
