Date,Wind_Total Generation,Solar_Total Generation,System Load
2017-05-10,208,,6745
2017-05-11,240,,6784
2017-05-12,709,,6844
2017-05-13,918,,6754
2017-05-14,827,,6638
2017-05-15,521,,6913
2017-05-16,300,,6861
2017-05-17,579,,6762
2017-05-18,470,,6733
2017-05-19,191,,6702
2017-05-20,113,,6328
2017-05-21,301,,6269
2017-05-22,217,,6487
2017-05-23,824,,6999
2017-05-24,1181,,6864
2017-05-25,927,,6761
2017-05-26,257,,6735
2017-05-27,443,,6516
2017-05-28,175,,6428
2017-05-29,162,,6891
2017-05-30,422,,6955
2017-05-31,498,,7087
2017-06-01,783,,7112
2017-06-02,1091,,7005
2017-06-03,349,,6575
2017-06-04,433,,6458
2017-06-05,327,,6751
2017-06-06,383,,6850
2017-06-07,403,,6988
2017-06-08,492,,7017
2017-06-09,1089,,6854
2017-06-10,1047,,6421
2017-06-11,585,,6360
2017-06-12,290,,6842
2017-06-13,270,,6717
2017-06-14,703,,6698
2017-06-15,692,,6672
2017-06-16,855,,6754
2017-06-17,506,,6352
2017-06-18,586,,6325
2017-06-19,232,,6853
2017-06-20,612,,6883
2017-06-21,480,,6801
2017-06-22,488,,6897
2017-06-23,121,,6957
2017-06-24,63,,6706
2017-06-25,276,,6765
2017-06-26,652,,7181
2017-06-27,670,,7002
2017-06-28,429,,6990
2017-06-29,134,,7064
2017-06-30,179,,7105
2017-07-01,230,,6674
2017-07-02,185,,6790
2017-07-03,803,,6962
2017-07-04,277,,7185
2017-07-05,289,,7357
2017-07-06,161,,7471
2017-07-07,183,,7465
2017-07-08,365,,7138
2017-07-09,231,,7139
2017-07-10,325,,7173
2017-07-11,213,,6875
2017-07-12,179,,6905
2017-07-13,430,,7227
2017-07-14,345,,7278
2017-07-15,581,,7075
2017-07-16,896,,6666
2017-07-17,291,,6920
2017-07-18,96,,6943
2017-07-19,134,,7094
2017-07-20,570,,7299
2017-07-21,550,,7029
2017-07-22,268,,6826
2017-07-23,485,,6784
2017-07-24,469,,6899
2017-07-25,110,,7080
2017-07-26,161,,7325
2017-07-27,513,,7468
2017-07-28,288,,7260
2017-07-29,179,,6983
2017-07-30,568,,6867
2017-07-31,206,,7155
2017-08-01,319,,7072
2017-08-02,28,,7083
2017-08-03,249,,7145
2017-08-04,560,,6982
2017-08-05,72,,6555
2017-08-06,82,,6569
2017-08-07,222,,6741
2017-08-08,68,,7043
2017-08-09,143,,7117
2017-08-10,178,,7215
2017-08-11,110,,7195
2017-08-12,326,,6894
2017-08-13,849,,6818
2017-08-14,283,,7058
2017-08-15,154,,6830
2017-08-16,293,,6843
2017-08-17,322,,6991
2017-08-18,762,,7026
2017-08-19,328,,6425
2017-08-20,246,,6340
2017-08-21,99,,6852
2017-08-22,82,,7130
2017-08-23,376,,7274
2017-08-24,792,,7162
2017-08-25,244,,6955
2017-08-26,281,,6674
2017-08-27,239,,6794
2017-08-28,216,,7340
2017-08-29,245,,7289
